board_certs,doctor,doctor_type,education,gender,individual_rating,languages,npi,overall_patient_ratings,overall_rating,practice,street_address,city_state,zoc_awards
,Dr. Konstantin Vaizman,,,,,,,,,,,,
,Dr. Afshin Tavakoly,,,,,,,,,,,,
New York Methodist Hospital,"Dr. Anthony Bertelle, MD","Internist, Primary Care Doctor","Maimonides Medical Center, Fellowship in Hematology,Maimonides Medical Center, Residency in Internal Medicine,Medical School - Università degli Studi di Bologna Scuola di Medicina e Chirurgia",Male,,"English,Italian,Russian,Spanish",1598874281,"4.5,3.5,4.5",4.5,"Anthony Bertelle, MD",7515 13th Avenue,"Brooklyn,NY,11228","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
"American Board of Internal Medicine,Gastroenterology (Internal Medicine)","Dr. Bharat Sanghavi, MD",Gastroenterologist,"Cabrini Medical Center, Fellowship in Gastroenterology,Cabrini Medical Center, Residency in Internal Medicine,Medical School - Medical College Baroda, Bachelor of Medicine, Bachelor of Surgery",Male,,"Russian,Gujarati,English,Hindi,Tagalog",1386681674,"5,4.5,4.5",5,"Bharat Sanghavi, MD","303 Second Ave,, ,Suite #20,44 Gramercy Park N,, ,Suite 1A","New York,NY,10003,New York,NY,10010","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Edward V. Chan,,,,,,,,,,,,
,"Dr. Nicolas Freda, DMD",Orthodontist,"Dental School - Tufts University, Doctor of Dental Medicine,New York University, Certificate in Orthodontics",Male,,"Chinese (Cantonese),Chinese (Mandarin),English",1639622483,"5,4.5,5",5,Manhattan Dentistry NYC PC,"41 Mott Street,, ,2nd Fl.","New York,NY,10013",icon-scheduling-hero
,"Dr. Lily Eng, DDS","Dentist, Cosmetic Dentist","Dental School - Columbia University, Doctor of Dental Surgery",Female,,"Chinese (Cantonese),Chinese (Mandarin),English",1225173032,"5,5,5",5,"Lily W Eng Oliver, DDS, PLLC","101 Lafayette St,, ,Fl 9","New York,NY,10013","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,"Dr. Edward Wong, DDS",Dentist,"Dental School - University of California, San Francisco, Doctor of Dental Surgery,Veterans Affairs Palo Alto Health Care System, Residency in General Practice",Male,,English,1558707406,"5,5,5",5,"Lily W Eng Oliver, DDS, PLLC","101 Lafayette St,, ,Fl 9","New York,NY,10013","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Huachen Wei,,,,,,,,,,,,
,"Dr. Julia Kim, OD",Optometrist,"State University of New York, Doctor of Optometry",Female,,"Chinese (Mandarin),Chinese (Shanghainese),English",1558524462,"4.5,5,4.5",4.5,Eyesmate Optical,107 Mott Street,"New York,NY,10013","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Leslie Miller,,,,,,,,,,,,
"Lenox Hill Hospital,The Mount Sinai Hospital","Dr. Mark Mohrmann, MD","Hand Surgeon, Orthopedic Surgeon","Hospital for Joint Diseases, Residency in Orthopedic Surgery,Thomas Jefferson University Hospital, Fellowship in Hand Surgery,New York University, Residency in Orthopedic Surgery,Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine,New York University, Internship in General Surgery",Male,,"English,Spanish",1306849641,"4.5,4.5,4.5",4.5,Highline Orthopaedics,"Upper East Side - 245 East 84th Street,Tribeca - 16 Park Place","New York,NY,10028,New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
"Mount Sinai Faculty Practice Associates,The Mount Sinai Hospital","Dr. Michael Palese, MD",Urologist,"Medical School - Icahn School of Medicine at Mount Sinai, Doctor of Medicine,NewYork-Presbyterian Hospital / Weill Cornell Medical Center, Fellowship in Robotic and Laparoscopic Surgery,University of Maryland, Residency in Urology",Male,,"English,French,German,Spanish",1679576110,"5,4,5",5,Mount Sinai Doctors,"10 Union Square East,, ,Suite 3A,625 Madison Ave,, ,2nd Floor","New York,NY,10003,New York,NY,10022","icon-see-you-again,icon-speedy-response"
Lenox Hill Hospital,"Dr. Yaniv Larish, MD","Urological Surgeon, Urologist","Lenox Hill Hospital, Residency in Benign Prostatic Hyperplasia,Lenox Hill Hospital, Residency in Female Pelvic Reconstruction and Sexual Dysfunction,Lenox Hill Hospital, Residency in Stone Disease,Lenox Hill Hospital, Residency in Urology,Medical School - Albert Einstein College of Medicine of Yeshiva University, Doctor of Medicine",Male,,"English,Hebrew,Spanish",1841515376,"5,4.5,5",5,Fifth Avenue Urology,"380 2nd Ave,4 East 76th St,2628 Broadway,225 W 23rd St,30 7th Avenue,199 Amsterdam Avenue","New York,NY,10010,New York,NY,10021,New York,NY,10025,New York,NY,10011,New York,NY,10011,New York,NY,10023",
Lenox Hill Hospital,"Dr. Himansh Khanna, MD, FACS","Urological Surgeon, Urologist","Maimonides Medical Center, Residency in Urology,Medical School - University of Cincinnati, Doctor of Medicine",Male,,"English,Hindi,Spanish",1982891941,"4.5,4,4.5",4.5,"Himansh Khanna, MD, FACS","120 East 34th Street,59-10 Junction Blvd,348 13th St,, ,Suite 204","New York,NY,10016,Queens,NY,11373,Brooklyn,NY,11215","icon-see-you-again,icon-rapid-registration,icon-scheduling-hero"
,Angela M Godwin,,,,,,,,,,,,
,Dr. Diana Lee,,,,,,,,,,,,
,"Dr. Krista McKenzie, DDS","Dentist, Cosmetic Dentist","Bronx-Lebanon Hospital Center, Residency in General Practice,Dental School - New York University, Doctor of Dental Surgery",Female,,English,1770710147,"5,4.5,5",5,DENTAL365,"6645 Grand Ave,19 Murray St,240 Madison Ave,, ,12th Floor,422 5th Avenue","Maspeth,NY,11378,New York,NY,10007,New York,NY,10016,Brooklyn,NY,11215",icon-rapid-registration
,"Ruschelle Khanna, LCSW",Psychotherapist,"Columbia University, Master's in Social Work",Female,,English,1912137613,"5,5,5",5,"Ruschelle Khanna, LCSW & Associates PLLC","26 East 36th Street,115 Broadway,, ,1800","New York,NY,10016,New York,NY,10006",icon-speedy-response
,"Dr. Darryl Wu, DDS","Dentist, Cosmetic Dentist","Dental School - New York University, Doctor of Dental Surgery,New York Hospital Queens, Residency in General Practice",Male,,"Chinese (Cantonese),Chinese (Mandarin),English",1114918182,"4.5,4,4.5",4.5,"Darryl Wu, DDS",41 Elizabeth St,"New York,NY,10013","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Martin Man,,,,,,,,,,,,
"Lenox Hill Hospital,The Mount Sinai Hospital","Dr. Mark Mohrmann, MD","Hand Surgeon, Orthopedic Surgeon","Hospital for Joint Diseases, Residency in Orthopedic Surgery,Thomas Jefferson University Hospital, Fellowship in Hand Surgery,New York University, Residency in Orthopedic Surgery,Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine,New York University, Internship in General Surgery",Male,,"English,Spanish",1306849641,"4.5,4.5,4.5",4.5,Highline Orthopaedics,"Upper East Side - 245 East 84th Street,Tribeca - 16 Park Place","New York,NY,10028,New York,NY,10007","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Linda Garcia-Rose,,,,,,,,,,,,
,Dr. Mark Mohrmann,,,,,,,,,,,,
,Dr. Mark Mohrmann,,,,,,,,,,,,
"Lenox Hill Hospital,The Mount Sinai Hospital","Dr. Mark Mohrmann, MD","Hand Surgeon, Orthopedic Surgeon","Hospital for Joint Diseases, Residency in Orthopedic Surgery,Thomas Jefferson University Hospital, Fellowship in Hand Surgery,New York University, Residency in Orthopedic Surgery,Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine,New York University, Internship in General Surgery",Male,,"English,Spanish",1306849641,"4.5,4.5,4.5",4.5,Highline Orthopaedics,"Tribeca - 16 Park Place,Upper East Side - 245 East 84th Street","New York,NY,10007,New York,NY,10028","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Mark Mohrmann,,,,,,,,,,,,
,Dr. Jonathan Allen,,,,,,,,,,,,
"Lenox Hill Hospital,The Mount Sinai Hospital","Dr. Mark Mohrmann, MD","Hand Surgeon, Orthopedic Surgeon","Hospital for Joint Diseases, Residency in Orthopedic Surgery,Thomas Jefferson University Hospital, Fellowship in Hand Surgery,New York University, Residency in Orthopedic Surgery,Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine,New York University, Internship in General Surgery",Male,,"English,Spanish",1306849641,"4.5,4.5,4.5",4.5,Highline Orthopaedics,"Tribeca - 16 Park Place,Upper East Side - 245 East 84th Street","New York,NY,10007,New York,NY,10028","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Mark Mohrmann,,,,,,,,,,,,
,"Dr. Carrie Friedman, OD",Optometrist,"Salus University, Pennsylvania College of Optometry, Doctor of Optometry,State University of New York, Bronx-Lebanon Hospital Center, Residency in Optometry,Tufts University (Bachelor's)",Female,,English,1275985228,"5,4.5,5",5,Eastside Eye Associates/Tribeca Eye Physicians,"229 East 79th St,19 Murray Street","New York,NY,10075,New York,NY,10007","icon-see-you-again,icon-rapid-registration"
"Lenox Hill Hospital,The Mount Sinai Hospital","Dr. Mark Mohrmann, MD","Hand Surgeon, Orthopedic Surgeon","Hospital for Joint Diseases, Residency in Orthopedic Surgery,Thomas Jefferson University Hospital, Fellowship in Hand Surgery,New York University, Residency in Orthopedic Surgery,Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine,New York University, Internship in General Surgery",Male,,"English,Spanish",1306849641,"4.5,4.5,4.5",4.5,Highline Orthopaedics,"Tribeca - 16 Park Place,Upper East Side - 245 East 84th Street","New York,NY,10007,New York,NY,10028","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Wynatte Chu,,,,,,,,,,,,
,Dr. Natan Dorfman,,,,,,,,,,,,
,Dr. Alla Dorfman,,,,,,,,,,,,
,"Dr. Lilan Le, OD",Optometrist,"Western University of Health Sciences, Doctor of Optometry",Female,,"English,Vietnamese",1104230200,"4.5,5,4.5",4.5,"Natan Dorfman, OD","402 Broadway,, ,Lower Level,150 Second Avenue,159 1st Avenue,170 Second Ave","New York,NY,10013,New York,NY,10003,New York,NY,10003,New York,NY,10003","icon-see-you-again,icon-speedy-response"
,"Dr. Paolo Saggese, DMD, FICOI","Dentist, Cosmetic Dentist","Dental School - Temple University, Doctor of Dental Medicine,New York University, Fellowship in Implantology,Woodhull Medical Center, Residency in General Practice",Male,,"English,Italian",1730514001,"4.5,4.5,5",4.5,"Paolo Saggese, DMD, PLLC","325 Broadway,, ,Lobby Office","New York,NY,10007","icon-see-you-again,icon-rapid-registration"
"Lenox Hill Hospital,The Mount Sinai Hospital","Dr. Mark Mohrmann, MD","Hand Surgeon, Orthopedic Surgeon","Hospital for Joint Diseases, Residency in Orthopedic Surgery,Thomas Jefferson University Hospital, Fellowship in Hand Surgery,New York University, Residency in Orthopedic Surgery,Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine,New York University, Internship in General Surgery",Male,,"English,Spanish",1306849641,"4.5,4.5,4.5",4.5,Highline Orthopaedics,"Tribeca - 16 Park Place,Upper East Side - 245 East 84th Street","New York,NY,10007,New York,NY,10028","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
"Beth Israel Medical Center - Petrie Division,Lenox Hill Hospital,New York University Elaine A. and Kenneth G. Langone Medical Center","Dr. Robert Gluck, MD",Urologist,"Beth Israel Medical Center, Internship in General Surgery,Medical School - State University of New York, Downstate Medical Center,New York University Medical Center, Residency in Urology",Male,,"Chinese (Mandarin),Creole (Haitian),English,Spanish",1275554933,"4.5,3.5,4.5",4.5,Murray Hill Urology,"380 88th Street,120 East 34th Street,59-10 Junction Blvd","Brooklyn,NY,11209,Manhattan,NY,10016,Queens,NY,11373","icon-see-you-again,icon-speedy-response,icon-scheduling-hero"
,"Dr. Mark Vine, MD",Urologist,"Flushing Hospital Medical Center (Internship),Medical School - Universitat de Barcelona Facultat de Medicina",Male,,English,1386668010,"4,2.5,4",4,Priority Medical Group PC,"162-04 Jamaica Ave,, ,5th Floor,395 Pearl Street,, ,2nd Floor,162-04 Jamaica Ave,, ,5th","Jamaica,NY,11432,Brooklyn,NY,11201,Jamaica,NY,11432",icon-scheduling-hero
,Dr. Leonard Glickman,,,,,,,,,,,,
,Dr. Yaniv Larish,,,,,,,,,,,,
,Dr. Alfred Winkler,,,,,,,,,,,,
,Dr. David Shusterman,,,,,,,,,,,,
"Beth Israel Medical Center,Lenox Hill Hospital","Dr. Michael Rotman, MD",Urologist,"Beth Israel Medical Center (Residency),Medical School - Icahn School of Medicine at Mount Sinai, Doctor of Medicine",Male,,"English,Russian,Spanish,Yiddish",1649284100,"4.5,4.5,4.5",4.5,"Michael Rotman, MD","290 Central Avenue,285 Lexington Avenue,, ,2nd Floor","Lawrence,NY,11559,New York,NY,10016","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. Yaniv Larish,,,,,,,,,,,,
,Dr. Leonard Glickman,,,,,,,,,,,,
,Dr. Himansh Khanna,,,,,,,,,,,,
,Dr. Alexander Lipyansky,,,,,,,,,,,,
,Dr. Carl Gerardi,,,,,,,,,,,,
,Dr. Michael Ficazzola,,,,,,,,,,,,
Beth Israel Medical Center,"Dr. Matthew Lemer, MD",Urologist,"Harvard University, Beth Israel Deaconess Medical Center (Fellowship),Medical School - Yale University, Doctor of Medicine,NewYork-Presbyterian Hospital / Weill Cornell Medical Center, Residency in General Surgery,NewYork-Presbyterian Hospital / Weill Cornell Medical Center, Residency in Urology",Male,,"English,Spanish",1598717589,"5,4.5,5",5,"Matthew Lemer, MD","44 East 12th Street,, ,Suite MD1,201 East 19th Street,, ,Suite 1,12 Greenridge Ave,, ,#401","New York,NY,10003,New York,NY,10003,White Plains,NY,10605","icon-see-you-again,icon-speedy-response"
New York University Elaine A. and Kenneth G. Langone Medical Center,"Dr. John Provet, MD",Urologist,"Medical School - New York University, Doctor of Medicine,New York University, Residency in General Surgery,New York University, Residency in Urology",Male,,English,1023083078,"4.5,4.5,4.5",4.5,University Urology,"215 Lexington Avenue,, ,20th Floor","New York,NY,10016","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
,Dr. John Provet,,,,,,,,,,,,
"Mount Sinai Faculty Practice Associates,The Mount Sinai Hospital","Dr. Michael Palese, MD",Urologist,"Medical School - Icahn School of Medicine at Mount Sinai, Doctor of Medicine,NewYork-Presbyterian Hospital / Weill Cornell Medical Center, Fellowship in Robotic and Laparoscopic Surgery,University of Maryland, Residency in Urology",Male,,"English,French,German,Spanish",1679576110,"5,4,5",5,Mount Sinai Doctors,"625 Madison Ave,, ,2nd Floor,10 Union Square East,, ,Suite 3A","New York,NY,10022,New York,NY,10003","icon-see-you-again,icon-speedy-response"
American Board of Urology,"Dr. M. William Atallah, MD, FACS",Urologist,"Long Island College Hospital, Residency in Urology,Medical School - University of Damascus Faculty of Medicine, Doctor of Medicine,New York Methodist Hospital, Residency in Urology,Long Island College Hospital, Residency in Surgery,University of Damascus Faculty of Medicine, Internship in Surgery,United Hospitals Medical Center (Internship)",Male,,"Arabic,English,French,Italian",1649227091,"4.5,4,5",4.5,M. William Atallah MD,"142 Joralemon St,7210 13th Ave,, ,2nd Floor","Brooklyn,NY,11201,Brooklyn,NY,11228","icon-see-you-again,icon-rapid-registration"
,Dr. Eli Lizza,,,,,,,,,,,,
NewYork-Presbyterian/Lower Manhattan Hospital,"Dr. Ciara Marley, MD",Urologist,"Lenox Hill Hospital, Residency in Urology,Medical School - State University of New York, Brooklyn, Doctor of Medicine,NewYork-Presbyterian Hospital, Residency in General Surgery",Female,,English,1235335381,"4.5,4.5,5",4.5,New York Urological Associates PC,245 E. 54th Street,"New York,NY,10022",icon-see-you-again
,Dr. Alexander Lipyansky,,,,,,,,,,,,
Beth Israel Medical Center,"Dr. Matthew Lemer, MD",Urologist,"Harvard University, Beth Israel Deaconess Medical Center (Fellowship),Medical School - Yale University, Doctor of Medicine,NewYork-Presbyterian Hospital / Weill Cornell Medical Center, Residency in General Surgery,NewYork-Presbyterian Hospital / Weill Cornell Medical Center, Residency in Urology",Male,,"English,Spanish",1598717589,"5,4.5,5",5,"Matthew Lemer, MD","44 East 12th Street,, ,Suite MD1,201 East 19th Street,, ,Suite 1,12 Greenridge Ave,, ,#401","New York,NY,10003,New York,NY,10003,White Plains,NY,10605","icon-see-you-again,icon-speedy-response"
American Board of Urology,"Dr. David Kaufman, MD",Urologist,"Medical School - State University of New York, Stony Brook, Doctor of Medicine,Mount Sinai Medical Center, Residency in General Surgery,NewYork-Presbyterian Hospital / Columbia University Medical Center, Residency in Urology,Saint Luke's-Roosevelt Hospital Center, Fellowship in Urologic Endocrinology",Male,,English,1104914100,"5,4.5,4.5",5,"Maiden Lane Medical, PLLC","18 East 41st St,, ,First Floor","New York,NY,10017","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
"Maimonides Medical Center,New York Hospital Queens","Dr. David Shusterman, MD","Urological Surgeon, Urologist","Medical School - State University of New York, Stony Brook,Rutgers, The State University of New Jersey, Residency in Urology",Male,,"Russian,Chinese (Mandarin),English,Spanish,Korean",1215138342,"4.5,4,4.5",4.5,Advanced Physicians PC,"1013 Avenue J,9713 64th Rd,, ,# 1,43-32 Kissena Blvd,69-15 Yellowstone Blvd,, ,Suite 4,800 2nd Ave,, ,9th Floor","Brooklyn,NY,11230,Rego Park,NY,11374,Flushing,NY,11355,Forest Hills,NY,11375,New York,NY,10017","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Janusz Plawner,,,,,,,,,,,,
New York University Elaine A. and Kenneth G. Langone Medical Center,"Dr. John Provet, MD",Urologist,"Medical School - New York University, Doctor of Medicine,New York University, Residency in General Surgery,New York University, Residency in Urology",Male,,English,1023083078,"4.5,4.5,4.5",4.5,University Urology,"215 Lexington Avenue,, ,20th Floor","New York,NY,10016","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
American Board of Urology,"Dr. John Won, MD","Urological Surgeon, Urologist","Medical School - New York Medical College, Doctor of Medicine,New York Medical College, Residency in General Surgery,New York Medical College, Residency in Urology",Male,,"English,Korean",1477630440,"4.5,4.5,4.5",4.5,New York Urological Associates PC,245 E. 54th Street,"New York,NY,10022",icon-see-you-again
,Dr. Sean Egan,,,,,,,,,,,,
"Mount Sinai Beth Israel - Petrie Division,The Mount Sinai Hospital","Dr. Jerry Blaivas, MD","Urological Surgeon, Urologist","Boston City Hospital, Internship in General Surgery,Boston City Hospital, Residency in General Surgery,Medical School - Tufts University, Doctor of Medicine,Tufts University, Residency in Urology",Male,,English,1124060330,"5,4.5,5",5,Mount Sinai Doctors,445 E 77th Street,"New York,NY,10075","icon-speedy-response,icon-scheduling-hero"
New York-Presbyterian Hospital / Weill Cornell Medical Center,"Dr. Leonard Glickman, MD",Urologist,"Hackensack University Medical Center (Fellowship),Lenox Hill Hospital (Internship),Lenox Hill Hospital, Residency in Urology,Medical School - New York University, Doctor of Medicine",Male,,English,1730355272,"4,4.5,5",4,Fifth Avenue Urology,"380 2nd Ave,4 East 76th St,2628 Broadway,225 W 23rd St,30 7th Avenue,199 Amsterdam Avenue","New York,NY,10010,New York,NY,10021,New York,NY,10025,New York,NY,10011,New York,NY,10011,New York,NY,10023",
The Valley Hospital,"Dr. Richard Campo, MD, MPH","Urological Surgeon, Urologist","University of Michigan Medical Center, Residency in Urology,Lenox Hill Hospital, Internship in Surgery,Columbia University, Master’s in Public Health,Columbia University (Bachelor's),Saint Vincent Catholic Medical Center, Residency in Surgery,Medical School - Icahn School of Medicine at Mount Sinai, Doctor of Medicine",Male,,English,1609968676,"4.5,4.5,5",4.5,"Richard Campo, MD, MPH","277 Forest Avenue,, ,Suite 206","Paramus,NJ,07652","icon-see-you-again,icon-rapid-registration,icon-speedy-response,icon-scheduling-hero"
"Richmond University Medical Center,Staten Island University Hospital - South Site,The Brookdale University Hospital and Medical Center","Dr. Mario Peichev, MD","Pediatric Oncologist, Pediatrician, Pediatric Hematologist","Memorial Sloan-Kettering Cancer Center, Fellowship in Pediatric Hematology,University of Medicine and Dentistry of New Jersey (Internship),Medical School - Medical University of Sofia Faculty of Medicine,University of Medicine and Dentistry of New Jersey (Residency),Cornell University, Fellowship in Pediatric Hematology and Oncology",Male,,"Russian,Creole (Haitian),English",1669447439,"5,4.5,5",5,Astoria Kid Specialists,"3272 Steinway St,314 Seaview Ave","Long Island City,NY,11103,Staten Island,NY,10305","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
"Richmond University Medical Center,Staten Island University Hospital - South Site,The Brookdale University Hospital and Medical Center","Dr. Mario Peichev, MD","Pediatric Oncologist, Pediatrician, Pediatric Hematologist","Memorial Sloan-Kettering Cancer Center, Fellowship in Pediatric Hematology,University of Medicine and Dentistry of New Jersey (Internship),Medical School - Medical University of Sofia Faculty of Medicine,University of Medicine and Dentistry of New Jersey (Residency),Cornell University, Fellowship in Pediatric Hematology and Oncology",Male,,"Russian,Creole (Haitian),English",1669447439,"5,4.5,5",5,Astoria Kid Specialists,"3272 Steinway St,314 Seaview Ave","Long Island City,NY,11103,Staten Island,NY,10305","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Mario Peichev,,,,,,,,,,,,
,Dr. Jay Katzman,,,,,,,,,,,,
"Beth Israel Medical Center - Kings Highway Division,Kingsbrook Jewish Medical Center","Dr. Jay E. Weissbluth, MD","Gastroenterologist, Internist","Interfaith Medical Center, Fellowship in Gastroenterology,Interfaith Medical Center, Residency in Internal Medicine,Medical School - Far Eastern University Institute of Medicine, Nicanor Reyes Medical Foundation",Male,,"Russian,Croatian,English",1659376119,"5,4,4.5",5,Jay E Weissbluth MD,"2882 West 15th Street,856 Dekalb Avenue,3019 Avenue U","Brooklyn,NY,11224,Brooklyn,NY,11221,Brooklyn,NY,11229","icon-see-you-again,icon-speedy-response,icon-scheduling-hero"
,Dr. Caterina Oneto,,,,,,,,,,,,
,Dr. Neal Joseph,,,,,,,,,,,,
"Mount Sinai Beth Israel - Petrie Division,New York-Presbyterian Hospital / Weill Cornell Medical Center","Dr. Donald Tsynman, MD",Gastroenterologist,"Medical School - St. Matthew's University School of Medicine (Grand Cayman), Doctor of Medicine,University of Pennsylvania (Bachelor’s),Drexel University (Residency),Drexel University (Internship),University of Rochester Medical Center, Fellowship in Gastroenterology",Male,,"English,Russian,Spanish",1508028143,"5,4.5,5",5,"Manhattan Gastroenterology, PC","51 East 25th Street,, ,4th Floor,983 Park Avenue,, ,Suite 1D (entrance on 83rd st. b/w park and lex)","New York,NY,10028,New York,NY,10028","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
New York University Elaine A. and Kenneth G. Langone Medical Center,"Dr. Jonathan Cohen, MD",Gastroenterologist,"Beth Israel Deaconess Medical Center, Residency in Internal Medicine,University of California, Los Angeles, Fellowship in Gastroenterology,Beth Israel Deaconess Medical Center, Internship in Internal Medicine,Medical School - Harvard University, Doctor of Medicine,Wellesley Hospital, Fellowship in Interventional Endoscopy",Male,,English,1790709533,"4.5,4.5,4.5",4.5,Concorde Medical Group PLLC,232 East 30th St,"New York,NY,10016",icon-see-you-again
,Dr. Veronika Dubrovskaya,,,,,,,,,,,,
,"Dr. Elie Abadie, MD",Gastroenterologist,"Maimonides Medical Center, Fellowship in Gastroenterology,Maimonides Medical Center, Residency in Internal Medicine,Medical School - State University of New York, Downstate Medical Center, Doctor of Medicine",Male,,"Italian,Russian,Portuguese",1639235435,"2.5,3.5,3.5",2.5,New York Medicine Doctors,"150 Broadway,, ,Suite 1115,65 Broadway,, ,Suite 1103,800 2nd Ave,, ,Floor 9","New York,NY,10038,New York,NY,10006,New York,NY,10017","icon-see-you-again,icon-speedy-response,icon-scheduling-hero"
,Dr. Michael L. Klein,,,,,,,,,,,,
"Beth Israel Medical Center - Petrie Division,New York University Elaine A. and Kenneth G. Langone Medical Center","Dr. Michael Eng, MD",Gastroenterologist,"Albert Einstein College of Medicine of Yeshiva University, Montefiore Medical Center, Fellowship in Gastroenterology,Medical School - Cornell University, Doctor of Medicine,Yale-New Haven Hospital, Residency in Internal Medicine",Male,,"Chinese (Cantonese),English",1710090410,"4.5,4,5",4.5,"Michael Eng, MD","115 East 23rd Street,, ,10th Floor,150 Broadway,, ,Suite 1601","New York,NY,10010,New York,NY,10038","icon-see-you-again,icon-speedy-response,icon-scheduling-hero"
,Dr. Murray Orbuch,,,,,,,,,,,,
New York University Elaine A. and Kenneth G. Langone Medical Center,"Dr. Lauren Schwartz, MD",Gastroenterologist,"Medical School - Cornell University, Doctor of Medicine,Memorial Sloan-Kettering Cancer Center, Fellowship in Clinical Nutrition,NewYork-Presbyterian Hospital, Residency in Internal Medicine,The Mount Sinai Hospital, Fellowship in Gastroenterology",Female,,English,1033389689,"5,4.5,5",5,Concorde Medical Group PLLC,"232 East 30th St,233 Broadway,, ,840","New York,NY,10016,New York,NY,10279",icon-see-you-again
,Dr. Veronika Dubrovskaya,,,,,,,,,,,,
"American Board of Internal Medicine,Gastroenterology (Internal Medicine)","Dr. Rajiv Uppal, MD",Gastroenterologist,"Medical School - Christian Medical College, Ludhiana, Bachelor of Medicine, Bachelor of Surgery,Monmouth Medical Center (Internal Medicine),New York Methodist Hospital (Pediatrics),Veterans Affairs Medical Center (Gastroenterology)",Male,,"English,Hindi",1508804345,"5,5,5",5,"Rajiv Uppal, M.D.","122 Fulton St.,, ,4th Floor","New York,NY,10038","icon-speedy-response,icon-scheduling-hero"
,Dr. Neal Joseph,,,,,,,,,,,,
New York University Elaine A. and Kenneth G. Langone Medical Center,"Dr. Daniel L. Motola, MD, PhD","Gastroenterologist, Internist","The Mount Sinai Hospital, Residency in Internal Medicine,Harvard University, Massachusetts General Hospital, Fellowship in Gastroenterology,University of Texas, Southwestern, PhD in Biochemistry,Medical School - University of Texas, Southwestern, Doctor of Medicine,The Mount Sinai Hospital, Fellowship in Transplant Hepatology,Brandeis University (Bachelor's),The Mount Sinai Hospital, Internship in Internal Medicine",Male,,"English,Spanish",1245499821,"5,4.5,5",5,Gotham Medical Associates,"535 5th Ave,, ,611,123 William Street,, ,15th Floor","New York,NY,10017,New York,NY,10038","icon-see-you-again,icon-rapid-registration,icon-speedy-response"
,Dr. Anthony Ng,,,,,,,,,,,,
Gastroenterology (Internal Medicine),"Dr. Prem Chattoo, DO",Gastroenterologist,"Medical School - New York Institute of Technology, New York College of Osteopathic Medicine, Doctor of Osteopathic Medicine,Saint Vincent's Medical Center, Manhattan (Fellowship),Winthrop-University Hospital (Residency)",Male,,"English,Spanish",1255395083,"4.5,3.5,4.5",4.5,Hudson River Gastroenterology,"460 Grand Street,631 Grand St.,, ,2nd Floor St 645,122 Fulton St.,, ,6th Floor","New York,NY,10002,Jersey City,NJ,07304,New York,NY,10038","icon-see-you-again,icon-rapid-registration"
Gastroenterology (Internal Medicine),"Dr. Jianjun Li, MD",Gastroenterologist,"Bronx Veterans Affairs Medical Center (Residency),Medical School - Zhongshan School of Medicine, Sun Yat-Sen University, Bachelor of Medicine, Bachelor of Surgery",Male,,"Chinese (Cantonese),Chinese (Fujian),Chinese (Mandarin),English",1437171683,"4.5,4,4.5",4.5,BROOKLYN,"5715 7th Ave,8686 Bay Parkway,, ,M1,139 Centre Street,, ,Suite 704,42-35 Main Street,, ,Suite 3E","Brooklyn,NY,11220,Brooklyn,NY,11214,New York,NY,10013,Flushing,NY,11355",icon-scheduling-hero
,Dr. Kenneth Miller,,,,,,,,,,,,
